Frage,Antworten,richtig,kastenummer
Was ist das größte Tier der Welt?,Der Blauwal | Der Plottwal | Der Koloss-Kalmar | Der Megalodon,1,2
Was ist das schnellste Landtier der Welt?,Der Leopard | der Wanderfalke | Der Gepard | Der Gabelbock,3,2
Was ist die größte Art von Katzen in der Welt?,Der Löwe | Der Leopard | Der Gepard | Der Tiger,4,1
Was sind die schnellsten Meerestiere?,Der Thunfisch | Der Hai | Die Delphin | Der Orca,1,0
Welches Tier hat überhaupt kein Skelett?,Qualle | Tintenfische | Thunfische | Kraken,1,0
Was ist das Tier das kein Geräusch macht?,Giraffe | Hase | Igel | Anakonda,1,1
Was ist die einzige Fischart mit Augenlidern?,der Wels | Der Hai | Der Kabeljau | der Aal,2,1
Welche Farbe hat das Blut von Krake ?,Lila | Blau | Rot | Transparent,2,3
Wie viele Herzen hat die Krake ?,Drei | Sieben | Eins | Zwei,1,0
Was ist der größte Vogel der Welt?,Der Krauskopfpelikan | Der Strauß | Der Emu | Der Große Nandu,2,3
Was ist der kleinste Vogel der Welt?,die Weidenmeise | Die Bienenelfe | Der Kolibri | Das Goldköpfchen,2,1
Wie viele Augen hat die Biene?,Eins | Zwei | Vier | Fünf,4,0
Was ist das Tier das mit offenem Mund überhaupt nicht atmet?,das Gila-Monster | der Alligator | Der Frosch | Der Hund,3,3
Was ist das klügste Tier überhaupt?,Die Maus | Der Schimpanse | Der Rabe | Der Papagei,2,1
Was ist die größte Schlange der Welt?,Die Große Anakonda | Der Amethystpython | Der Tigerpython | Der Netzpython,1,1
Wie heißt das Tier das drei Jahre ohne Nahrung leben kann?,Die Große Anakonda | Der Krokodil | Die Spinne | Der Elefant,3,3
Was ist die gefährlichste Fischart?,Der Orca | Der Aal | Der Plottwal | Der weiße Hai,4,0
Was ist das Tier mit der längsten Lebensdauer?,Grönlandhai | Schildkröten | Turritopsis dohrnii | Elefanten,3,1
Welches Tier kann nicht im Wasser schwimmen?,Das Schwein | Der Kamäl | Die Katze | Der Elefant,2,0
Was ist das kleinste Säugetier?,Die Rüsselspringer | Die Waldspitzmaus | Die Fledermaus | Die Etruskerspitzmaus,4,2
